Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
United States,2020,11,2020-03-14,58671,53530,759,11571,1743,2445,1641,3390,992,1078,650,13442,3167,58,54,,,,,,,,,,,,,,,
United States,2020,12,2020-03-21,59218,54306,843,11734,1834,2515,1745,3384,1021,1105,629,13198,3069,582,545,,,,,,,,,,,,,,,
United States,2020,13,2020-03-28,63025,58244,852,11784,2045,2749,1789,3518,1065,1027,649,13712,3067,3205,3025,,,,,,,,,,,,,,,
United States,2020,14,2020-04-04,72318,67467,954,11598,2302,2871,1857,3538,1029,1037,706,14963,3165,10114,9618,,,,,,,,,,,,,,,
United States,2020,15,2020-04-11,79110,74018,836,11552,2358,2963,1629,3442,1020,1120,682,15772,3192,16298,15485,,,,,,,,,,,,,,,
United States,2020,16,2020-04-18,76808,71899,751,11209,2271,2901,1245,3196,917,1098,678,14578,3205,17179,16276,,,,,,,,,,,,,,,
United States,2020,17,2020-04-25,73909,68747,739,11363,2086,2804,1148,2996,890,987,690,13873,3059,15539,14643,,,,,,,,,,,,,,,
United States,2020,18,2020-05-02,69301,63932,743,11099,1935,2727,1013,2929,852,961,565,13005,3043,13209,12425,,,,,,,,,,,,,,,
United States,2020,19,2020-05-09,66825,61200,723,11018,1970,2498,866,2807,860,936,618,13176,2855,11225,10451,,,,,,,,,,,,,,,
United States,2020,20,2020-05-16,64478,58995,682,11267,1968,2433,863,2771,787,977,588,12741,2962,9220,8475,,,,,,,,,,,,,,,
United States,2020,21,2020-05-23,61629,56020,715,11118,1834,2417,807,2677,744,920,598,12780,2827,7239,6587,,,,,,,,,,,,,,,
United States,2020,22,2020-05-30,59679,54012,654,10905,1814,2261,754,2634,762,893,610,12456,2855,6167,5582,,,,,,,,,,,,,,,
United States,2020,23,2020-06-06,58903,52938,733,11084,1728,2302,702,2564,779,905,576,12472,2791,5052,4513,,,,,,,,,,,,,,,
United States,2020,24,2020-06-13,58030,52294,693,11130,1741,2327,700,2502,737,924,614,12410,2843,4227,3726,,,,,,,,,,,,,,,
United States,2020,25,2020-06-20,57994,52218,686,11158,1792,2362,756,2564,760,932,637,12403,2925,3845,3351,,,,,,,,,,,,,,,
United States,2020,26,2020-06-27,58515,52665,720,11360,1768,2288,724,2539,775,953,602,12523,2962,3836,3325,,,,,,,,,,,,,,,
United States,2020,27,2020-07-04,59837,53827,685,11297,1931,2362,657,2624,780,986,624,12878,2835,4545,4046,,,,,,,,,,,,,,,
United States,2020,28,2020-07-11,61934,55851,767,11329,1955,2470,742,2614,752,917,699,13021,2921,5781,5232,,,,,,,,,,,,,,,
United States,2020,29,2020-07-18,63168,57160,711,11376,1889,2501,768,2645,712,985,705,12869,2984,7188,6522,,,,,,,,,,,,,,,
United States,2020,30,2020-07-25,64243,58397,687,11556,1955,2510,782,2559,732,970,706,12928,2913,8237,7518,,,,,,,,,,,,,,,
United States,2020,31,2020-08-01,64226,58285,693,11512,1988,2502,759,2737,783,962,659,12823,2990,8300,7606,,,,,,,,,,,,,,,
United States,2020,32,2020-08-08,63715,57849,786,11530,1798,2435,782,2594,729,910,706,12816,3036,7861,7175,,,,,,,,,,,,,,,
United States,2020,33,2020-08-15,63660,57784,740,11704,1895,2529,756,2658,798,968,684,12849,2950,7255,6556,,,,,,,,,,,,,,,
United States,2020,34,2020-08-22,62556,56619,738,11517,1935,2568,697,2642,784,967,664,12760,2933,6379,5747,,,,,,,,,,,,,,,
United States,2020,35,2020-08-29,61098,55352,728,11575,1881,2430,680,2560,747,984,661,12472,2993,5739,5140,,,,,,,,,,,,,,,
United States,2020,36,2020-09-05,60242,54271,704,11376,1838,2506,737,2553,801,929,614,12508,2864,5010,4425,,,,,,,,,,,,,,,
United States,2020,37,2020-09-12,59659,53972,698,11468,1893,2330,681,2560,748,928,660,12350,3045,4622,4079,,,,,,,,,,,,,,,
United States,2020,38,2020-09-19,59732,54165,751,11628,1859,2372,719,2519,780,921,684,12687,2949,4267,3759,,,,,,,,,,,,,,,
United States,2020,39,2020-09-26,60618,55088,769,11865,1844,2500,724,2672,789,923,633,12710,3077,4296,3785,,,,,,,,,,,,,,,
United States,2020,40,2020-10-03,59810,54148,724,11427,1897,2414,763,2579,718,945,709,12654,2885,4240,3694,,,,,,,,,,,,,,,
United States,2020,41,2020-10-10,61777,55979,759,11829,1895,2515,725,2615,800,959,695,12799,3124,4816,4271,,,,,,,,,,,,,,,
United States,2020,42,2020-10-17,60633,55241,777,11321,1841,2537,724,2598,814,1024,679,12569,3038,5191,4587,,,,,,,,,,,,,,,
United States,2020,43,2020-10-24,62179,56884,732,11676,1834,2571,766,2699,795,943,675,12861,3082,5987,5320,,,,,,,,,,,,,,,
United States,2020,44,2020-10-31,63422,58103,703,11529,1942,2461,798,2570,831,923,643,13152,3102,7010,6244,,,,,,,,,,,,,,,
United States,2020,45,2020-11-07,67597,61792,770,11810,1963,2664,803,2897,816,1028,747,13673,3160,8751,7835,,,,,,,,,,,,,,,
United States,2020,46,2020-11-14,68810,63246,796,11739,2023,2735,849,2750,859,1024,679,13450,3174,10634,9571,,,,,,,,,,,,,,,
United States,2020,47,2020-11-21,71649,66270,823,11631,2118,2657,833,2817,859,1032,761,13625,3215,13347,12059,,,,,,,,,,,,,,,
United States,2020,48,2020-11-28,73275,67947,777,11390,2152,2774,811,2754,861,1043,778,13544,3127,15607,14119,,,,,,,,,,,,,,,
United States,2020,49,2020-12-05,77399,72017,851,11353,2215,2847,919,2834,903,1034,810,14293,3311,18538,16830,,,,,,,,,,,,,,,
United States,2020,50,2020-12-12,81978,76470,836,11904,2297,2934,953,3032,974,1089,836,14546,3481,20898,19046,,,,,,,,,,,,,,,
United States,2020,51,2020-12-19,82892,77568,842,11781,2349,3059,948,2945,921,1024,845,14743,3466,22293,20389,,,,,,,,,,,,,,,
United States,2020,52,2020-12-26,84332,78767,859,11690,2327,2980,982,2860,923,1124,915,14830,3387,23336,21313,,,,,,,,,,,,,,,
United States,2020,53,2021-01-02,86796,81018,897,11669,2436,3063,1021,3048,904,1108,888,15201,3501,24747,22631,,,,,,,,,,,,,,,
United States,2021,1,2021-01-09,86322,80795,856,11268,2343,2931,1031,2938,938,1146,1011,14938,3352,25694,23654,,,,,,,,,,,,,,,
United States,2021,2,2021-01-16,86148,80717,821,11730,2410,2949,999,2891,947,1225,1081,14738,3499,25252,23103,,,,,,,,,,,,,,,
United States,2021,3,2021-01-23,82289,77058,827,11419,2163,2880,924,2778,892,1178,1075,14334,3402,23182,21178,,,,,,,,,,,,,,,
United States,2021,4,2021-01-30,78592,73435,780,11626,2145,2634,912,2766,952,1166,1120,14096,3271,20106,18211,,,,,,,,,,,,,,,
United States,2021,5,2021-02-06,74253,68933,802,11284,2018,2499,828,2788,900,1103,1251,13972,3220,16443,14727,,,,,,,,,,,,,,,
United States,2021,6,2021-02-13,69011,63982,803,11152,1995,2308,837,2561,868,1078,1216,13425,3267,12936,11487,,,,,,,,,,,,,,,
United States,2021,7,2021-02-20,67172,62219,795,11044,2201,2420,848,2608,829,1034,1293,13679,3070,10387,9138,,,,,,,,,,,,,,,
United States,2021,8,2021-02-27,64564,59460,848,11268,1907,2408,772,2539,859,1038,1313,13085,3110,8303,7216,,,,,,,,,,,,,,,
United States,2021,9,2021-03-06,61486,56504,762,11025,1883,2232,811,2490,786,1038,1422,12733,3074,6488,5576,,,,,,,,,,,,,,,
United States,2021,10,2021-03-13,59665,54940,811,11028,1828,2207,746,2536,830,980,1586,12573,2995,5540,4659,,,,,,,,,,,,,,,
United States,2021,11,2021-03-20,58030,53234,733,10914,1863,2104,723,2450,813,941,1825,12061,2950,4778,4011,,,,,,,,,,,,,,,
United States,2021,12,2021-03-27,58159,53563,690,10925,1780,2133,657,2554,812,973,1959,12341,2997,4344,3685,,,,,,,,,,,,,,,
United States,2021,13,2021-04-03,56058,51719,661,10632,1811,1969,657,2382,812,963,2289,11708,2825,4082,3435,,,,,,,,,,,,,,,
United States,2021,14,2021-04-10,57976,53431,670,11058,1745,2073,698,2470,737,981,2590,12039,2921,4163,3535,,,,,,,,,,,,,,,
United States,2021,15,2021-04-17,55925,51921,638,10844,1643,1876,645,2334,727,915,2621,11752,2944,4275,3651,,,,,,,,,,,,,,,
United States,2021,16,2021-04-24,56969,53065,690,11020,1726,1943,655,2425,819,929,2803,11902,2921,4402,3795,,,,,,,,,,,,,,,
United States,2021,17,2021-05-01,55871,52327,673,10957,1706,2018,627,2433,779,936,2910,11561,2777,3975,3443,,,,,,,,,,,,,,,
United States,2021,18,2021-05-08,54084,50758,641,10598,1627,1961,633,2358,770,829,3241,11167,2763,3708,3196,,,,,,,,,,,,,,,
United States,2021,19,2021-05-15,52616,49651,614,10573,1597,1866,600,2285,758,864,3249,10714,2699,3360,2900,,,,,,,,,,,,,,,
United States,2021,20,2021-05-22,50665,47850,594,10390,1381,1930,565,2280,782,836,3281,10199,2596,2813,2405,,,,,,,,,,,,,,,
United States,2021,21,2021-05-29,43607,41548,530,9090,1262,1634,492,1992,637,751,2973,9122,2299,2103,1760,,,,,,,,,,,,,,,
United States,2021,22,2021-06-05,33544,32337,378,7266,877,1316,363,1610,486,587,2575,7041,1752,1358,1183,,,,,,,,,,,,,,,
Alabama,2020,1,2020-01-04,1082,1009,15,196,25,54,28,86,13,25,25,268,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,2,2020-01-11,1127,1060,25,197,17,41,27,72,20,23,34,274,68,0,0,,,,,,,,,,,,,,,
Alabama,2020,3,2020-01-18,1039,976,28,201,24,53,31,73,21,23,24,239,45,0,0,,,,,,,,,,,,,,,
Alabama,2020,4,2020-01-25,1056,982,16,190,23,54,29,61,11,14,23,285,70,,0,,,,,,,,,,,,,,Suppressed (counts 1-9),
Alabama,2020,5,2020-02-01,1026,949,15,157,16,58,31,76,17,20,23,265,55,0,0,,,,,,,,,,,,,,,
Alabama,2020,6,2020-02-08,1120,1028,26,191,24,45,28,70,20,24,27,304,52,0,0,,,,,,,,,,,,,,,
Alabama,2020,7,2020-02-15,1095,1020,17,193,24,50,35,74,23,18,25,255,81,0,0,,,,,,,,,,,,,,,
Alabama,2020,8,2020-02-22,1098,1018,17,222,29,47,25,65,12,12,15,285,74,0,0,,,,,,,,,,,,,,,
Alabama,2020,9,2020-02-29,1164,1093,21,212,28,62,30,88,20,21,25,294,60,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,10,2020-03-07,1057,953,18,144,25,65,34,60,24,23,22,265,57,0,0,,,,,,,,,,,,,,,
Alabama,2020,11,2020-03-14,1091,1013,16,199,31,65,30,75,28,27,20,265,69,0,0,,,,,,,,,,,,,,,
Alabama,2020,12,2020-03-21,1059,986,17,227,25,46,26,67,24,22,16,263,72,,,,,,,,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
Alabama,2020,13,2020-03-28,1073,990,15,188,23,67,26,75,24,15,22,244,69,23,20,,,,,,,,,,,,,,,
Alabama,2020,14,2020-04-04,1156,1077,27,202,34,74,23,67,24,22,25,258,68,49,45,,,,,,,,,,,,,,,
Alabama,2020,15,2020-04-11,1135,1056,25,166,31,63,18,60,20,17,28,266,64,81,77,,,,,,,,,,,,,,,
Alabama,2020,16,2020-04-18,1149,1053,20,183,35,62,18,67,21,17,19,249,62,89,85,,,,,,,,,,,,,,,
Alabama,2020,17,2020-04-25,1139,1037,20,200,28,55,24,53,12,17,13,265,63,85,78,,,,,,,,,,,,,,,
Alabama,2020,18,2020-05-02,1147,1048,17,197,22,57,26,67,19,24,10,271,62,81,75,,,,,,,,,,,,,,,
Alabama,2020,19,2020-05-09,1171,1084,17,201,28,45,12,58,18,15,22,305,53,116,105,,,,,,,,,,,,,,,
Alabama,2020,20,2020-05-16,1148,1049,19,203,29,47,15,71,17,21,22,259,49,95,89,,,,,,,,,,,,,,,
Alabama,2020,21,2020-05-23,1153,1055,22,192,22,62,18,53,15,21,25,282,55,82,78,,,,,,,,,,,,,,,
Alabama,2020,22,2020-05-30,1109,999,23,161,29,53,21,52,14,15,23,241,47,103,99,,,,,,,,,,,,,,,
Alabama,2020,23,2020-06-06,1173,1071,27,212,20,48,16,62,19,15,15,290,55,91,86,,,,,,,,,,,,,,,
Alabama,2020,24,2020-06-13,1138,1031,14,176,23,53,11,65,17,24,19,280,58,81,75,,,,,,,,,,,,,,,
Alabama,2020,25,2020-06-20,1090,1007,29,198,22,48,12,62,16,17,25,256,55,88,81,,,,,,,,,,,,,,,
Alabama,2020,26,2020-06-27,1151,1064,12,222,23,60,16,55,15,17,18,266,67,103,95,,,,,,,,,,,,,,,
Alabama,2020,27,2020-07-04,1201,1112,14,221,30,59,13,60,,18,25,296,49,124,118,,,,,,,,,Suppressed (counts 1-9),,,,,,
Alabama,2020,28,2020-07-11,1265,1177,17,217,31,62,12,64,14,19,23,305,72,135,122,,,,,,,,,,,,,,,
Alabama,2020,29,2020-07-18,1289,1201,23,203,24,68,22,71,17,19,24,275,66,191,171,,,,,,,,,,,,,,,
Alabama,2020,30,2020-07-25,1333,1257,21,212,28,65,17,69,10,20,22,285,78,251,241,,,,,,,,,,,,,,,
Alabama,2020,31,2020-08-01,1364,1269,15,198,23,56,25,74,21,20,15,310,71,263,239,,,,,,,,,,,,,,,
Alabama,2020,32,2020-08-08,1379,1288,15,177,32,40,21,76,14,17,27,291,69,264,253,,,,,,,,,,,,,,,
Alabama,2020,33,2020-08-15,1305,1207,,166,26,60,20,68,21,15,24,291,74,230,214,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alabama,2020,34,2020-08-22,1303,1219,16,193,22,55,17,58,13,21,26,293,75,209,197,,,,,,,,,,,,,,,
Alabama,2020,35,2020-08-29,1216,1129,19,191,24,54,17,62,19,20,22,250,56,185,175,,,,,,,,,,,,,,,
Alabama,2020,36,2020-09-05,1216,1132,22,212,24,61,14,65,12,15,12,258,60,156,142,,,,,,,,,,,,,,,
Alabama,2020,37,2020-09-12,1232,1148,17,198,28,66,12,59,19,23,21,295,49,138,130,,,,,,,,,,,,,,,
Alabama,2020,38,2020-09-19,1200,1132,18,226,20,56,17,69,21,20,15,257,62,139,135,,,,,,,,,,,,,,,
Alabama,2020,39,2020-09-26,1183,1109,21,204,35,65,20,62,13,15,22,261,58,105,100,,,,,,,,,,,,,,,
Alabama,2020,40,2020-10-03,1103,1010,14,181,28,47,20,55,11,20,10,260,47,111,100,,,,,,,,,,,,,,,
Alabama,2020,41,2020-10-10,1204,1120,15,189,28,58,18,63,20,21,20,303,61,137,127,,,,,,,,,,,,,,,
Alabama,2020,42,2020-10-17,1190,1114,20,198,28,60,12,59,19,21,18,259,69,126,112,,,,,,,,,,,,,,,
Alabama,2020,43,2020-10-24,1142,1056,18,200,16,54,20,54,16,19,15,277,47,119,112,,,,,,,,,,,,,,,
Alabama,2020,44,2020-10-31,1169,1093,22,187,23,62,23,47,23,12,20,278,60,131,119,,,,,,,,,,,,,,,
Alabama,2020,45,2020-11-07,1277,1183,15,215,27,54,14,54,19,23,21,297,65,150,140,,,,,,,,,,,,,,,
Alabama,2020,46,2020-11-14,1269,1186,16,209,27,64,13,62,19,24,21,289,58,176,165,,,,,,,,,,,,,,,
Alabama,2020,47,2020-11-21,1275,1176,11,195,29,69,17,58,13,27,22,267,61,168,155,,,,,,,,,,,,,,,
Alabama,2020,48,2020-11-28,1326,1237,24,206,26,57,17,64,14,27,24,291,54,202,186,,,,,,,,,,,,,,,
Alabama,2020,49,2020-12-05,1355,1259,30,177,32,63,14,66,28,14,23,300,66,250,238,,,,,,,,,,,,,,,
Alabama,2020,50,2020-12-12,1598,1509,21,228,47,82,21,56,24,24,25,300,70,376,360,,,,,,,,,,,,,,,
Alabama,2020,51,2020-12-19,1584,1485,13,196,31,71,31,69,17,26,29,310,70,390,363,,,,,,,,,,,,,,,
Alabama,2020,52,2020-12-26,1626,1555,23,195,46,74,17,66,25,25,26,329,60,452,422,,,,,,,,,,,,,,,
Alabama,2020,53,2021-01-02,1801,1701,23,200,35,79,21,69,26,26,38,326,77,508,480,,,,,,,,,,,,,,,
Alabama,2021,1,2021-01-09,1801,1702,21,224,35,70,19,79,27,24,35,333,62,544,525,,,,,,,,,,,,,,,
Alabama,2021,2,2021-01-16,1815,1733,16,212,46,66,24,63,22,25,37,342,66,586,562,,,,,,,,,,,,,,,
Alabama,2021,3,2021-01-23,1777,1681,16,193,38,63,19,63,26,33,33,335,63,573,542,,,,,,,,,,,,,,,
Alabama,2021,4,2021-01-30,1631,1558,20,206,36,64,20,73,24,22,30,310,61,485,456,,,,,,,,,,,,,,,
Alabama,2021,5,2021-02-06,1497,1404,22,213,24,66,23,68,20,22,31,299,62,342,329,,,,,,,,,,,,,,,
Alabama,2021,6,2021-02-13,1411,1326,20,200,29,66,14,66,25,20,22,322,77,261,245,,,,,,,,,,,,,,,
Alabama,2021,7,2021-02-20,1323,1254,30,195,36,62,20,43,27,18,30,309,61,214,192,,,,,,,,,,,,,,,
Alabama,2021,8,2021-02-27,1302,1218,21,181,21,57,22,59,17,14,27,324,73,170,152,,,,,,,,,,,,,,,
Alabama,2021,9,2021-03-06,1145,1046,18,201,20,50,22,42,28,26,25,254,57,107,90,,,,,,,,,,,,,,,
Alabama,2021,10,2021-03-13,1167,1084,12,176,24,45,22,63,17,25,35,262,52,101,90,,,,,,,,,,,,,,,
Alabama,2021,11,2021-03-20,1043,977,26,166,23,59,18,49,16,22,35,227,49,77,69,,,,,,,,,,,,,,,
Alabama,2021,12,2021-03-27,1169,1077,28,155,34,46,22,58,24,19,47,291,92,75,65,,,,,,,,,,,,,,,
Alabama,2021,13,2021-04-03,1084,1000,17,185,26,41,19,68,15,18,43,230,61,66,56,,,,,,,,,,,,,,,
Alabama,2021,14,2021-04-10,1173,1089,20,201,26,46,18,53,26,23,51,278,70,53,49,,,,,,,,,,,,,,,
Alabama,2021,15,2021-04-17,1127,1053,24,224,37,49,16,53,19,17,38,258,53,41,35,,,,,,,,,,,,,,,
Alabama,2021,16,2021-04-24,1071,997,27,202,32,44,23,49,19,13,37,267,53,44,37,,,,,,,,,,,,,,,
Alabama,2021,17,2021-05-01,1149,1086,25,213,23,48,21,62,24,25,43,289,56,44,39,,,,,,,,,,,,,,,
Alabama,2021,18,2021-05-08,1080,1010,16,206,30,38,10,71,25,20,43,244,54,60,57,,,,,,,,,,,,,,,
Alabama,2021,19,2021-05-15,994,921,19,170,23,47,13,65,16,30,30,242,53,44,41,,,,,,,,,,,,,,,
Alabama,2021,20,2021-05-22,915,856,13,165,19,54,14,50,15,14,23,232,40,42,35,,,,,,,,,,,,,,,
Alabama,2021,21,2021-05-29,807,766,20,158,10,47,13,40,17,14,23,207,39,26,20,,,,,,,,,,,,,,,
Alabama,2021,22,2021-06-05,570,545,,105,12,29,10,43,11,10,13,160,28,20,16,,,Suppressed (counts 1-9),,,,,,,,,,,,
Alaska,2020,1,2020-01-04,89,71,,16,,,0,,0,,0,17,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,2,2020-01-11,105,93,,22,,,0,,,,0,24,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,3,2020-01-18,99,83,,21,,,0,,,,0,15,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,4,2020-01-25,97,82,,21,,,0,,0,,,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,5,2020-02-01,85,74,,17,,,,,,0,,20,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,6,2020-02-08,92,75,0,15,,,,,,,,22,,0,0,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,7,2020-02-15,89,74,,20,,,0,,,,0,19,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,8,2020-02-22,83,64,,16,,,,,,0,,,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
Alaska,2020,9,2020-02-29,84,76,,18,,0,,,,,,14,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,10,2020-03-07,79,68,,20,0,,,,,,0,15,,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
Alaska,2020,11,2020-03-14,92,80,,20,,0,,,,0,,22,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,12,2020-03-21,69,55,0,,,,,,,,,10,,0,0,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,13,2020-03-28,86,75,,16,,,,,,,0,15,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,14,2020-04-04,98,84,,21,,,,,,0,0,14,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,15,2020-04-11,84,71,,15,,,,,,,,20,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,16,2020-04-18,80,71,0,17,,,,,0,,0,13,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
Alaska,2020,17,2020-04-25,61,55,,12,0,,,,,,0,12,0,0,0,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
Alaska,2020,18,2020-05-02,87,78,,17,,,,,,0,,18,,0,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),,
Alaska,2020,19,2020-05-09,89,77,,20,,,,,,0,0,13,,,0,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),
